feature,frequencyInTop100
hsa-mir-10b,1.0
hsa-mir-126,0.9625
hsa-mir-10a,0.9
hsa-mir-9-2,0.875
hsa-mir-30a,0.875
hsa-mir-9-1,0.875
hsa-mir-375,0.875
hsa-mir-21,0.875
hsa-mir-125a,0.8625
hsa-mir-143,0.85
hsa-mir-122,0.8375
hsa-let-7i,0.8375
hsa-mir-200c,0.75
hsa-mir-196b,0.75
hsa-mir-22,0.75
hsa-mir-145,0.75
hsa-mir-205,0.75
hsa-mir-30d,0.7375
hsa-mir-210,0.7375
hsa-mir-148a,0.7375
hsa-mir-193a,0.7375
hsa-mir-190b,0.725
hsa-mir-9-3,0.6875
hsa-let-7c,0.6875
hsa-mir-1247,0.6625000000000001
hsa-mir-490,0.6625
hsa-mir-141,0.65
hsa-mir-19a,0.625
hsa-mir-503,0.625
hsa-mir-135a-1,0.625
hsa-mir-944,0.625
hsa-mir-203,0.625
hsa-let-7b,0.6125
hsa-mir-103-1,0.6125
hsa-mir-584,0.6
hsa-mir-152,0.5874999999999999
hsa-mir-30e,0.5874999999999999
hsa-mir-106a,0.5750000000000001
hsa-mir-183,0.5750000000000001
hsa-let-7f-1,0.575
hsa-mir-202,0.5625
hsa-mir-199b,0.5625
hsa-mir-200b,0.5625
hsa-mir-194-2,0.5375
hsa-mir-29c,0.5375
hsa-mir-30b,0.525
hsa-mir-101-2,0.525
hsa-mir-192,0.525
hsa-mir-135a-2,0.5125
hsa-mir-28,0.5125
hsa-mir-211,0.5
hsa-mir-200a,0.5
hsa-mir-598,0.5
hsa-mir-1-2,0.5
hsa-mir-95,0.49999999999999994
hsa-mir-99a,0.48750000000000004
hsa-mir-378,0.4875
hsa-mir-194-1,0.4875
hsa-mir-199a-1,0.4875
hsa-mir-15a,0.47500000000000003
hsa-mir-155,0.475
hsa-mir-107,0.475
hsa-mir-190,0.4625
hsa-let-7f-2,0.4625
hsa-mir-3678,0.4625
hsa-mir-182,0.46249999999999997
hsa-mir-142,0.45
hsa-mir-146a,0.45
hsa-mir-34a,0.45
hsa-mir-181b-1,0.45
hsa-mir-885,0.4375
hsa-mir-130a,0.4375
hsa-mir-3613,0.4375
hsa-mir-204,0.43749999999999994
hsa-mir-340,0.42500000000000004
hsa-mir-221,0.425
hsa-mir-7-3,0.41250000000000003
hsa-mir-135b,0.4125
hsa-mir-1976,0.4
hsa-mir-27b,0.3875
hsa-mir-934,0.3875
hsa-mir-708,0.3875
hsa-let-7g,0.3875
hsa-mir-196a-1,0.3875
hsa-mir-146b,0.3875
hsa-mir-199a-2,0.3875
hsa-mir-1245,0.3875
hsa-mir-328,0.375
hsa-mir-124-2,0.375
hsa-let-7a-3,0.375
hsa-let-7d,0.375
hsa-mir-139,0.36250000000000004
hsa-let-7e,0.36250000000000004
hsa-mir-101-1,0.3625
hsa-mir-374b,0.3625
hsa-mir-223,0.3625
hsa-mir-335,0.3625
hsa-mir-124-1,0.3625
hsa-mir-125b-1,0.3625
hsa-mir-23a,0.35
hsa-mir-30c-2,0.35
hsa-mir-181a-2,0.35
hsa-mir-1264,0.35
hsa-mir-137,0.35
hsa-mir-124-3,0.35
hsa-mir-1277,0.35
hsa-mir-29b-1,0.325
hsa-let-7a-2,0.325
hsa-mir-181a-1,0.325
hsa-mir-455,0.31250000000000006
hsa-mir-195,0.3125
hsa-mir-16-2,0.3125
hsa-mir-302b,0.3
hsa-mir-574,0.3
hsa-let-7a-1,0.2875
hsa-mir-29a,0.2875
hsa-mir-3647,0.275
hsa-mir-625,0.27499999999999997
hsa-mir-149,0.2625
hsa-mir-29b-2,0.2625
hsa-mir-429,0.2625
hsa-mir-100,0.2625
hsa-mir-874,0.2625
hsa-mir-1251,0.25
hsa-mir-373,0.25
hsa-mir-371,0.25
hsa-mir-3607,0.25
hsa-mir-191,0.25
hsa-mir-105-2,0.25
hsa-mir-326,0.25
hsa-mir-105-1,0.25
hsa-mir-206,0.25
hsa-mir-511-1,0.25
hsa-mir-215,0.25
hsa-mir-676,0.23750000000000002
hsa-mir-31,0.23750000000000002
hsa-mir-1266,0.2375
hsa-mir-3166,0.2375
hsa-mir-133b,0.2375
hsa-mir-1911,0.225
hsa-mir-331,0.225
hsa-mir-1298,0.225
hsa-mir-448,0.225
hsa-mir-1255a,0.225
hsa-mir-214,0.225
hsa-mir-1224,0.225
hsa-mir-1912,0.225
hsa-mir-3616,0.225
hsa-mir-764,0.225
hsa-mir-3653,0.21250000000000002
hsa-mir-301a,0.21250000000000002
hsa-mir-561,0.21250000000000002
hsa-mir-99b,0.21250000000000002
hsa-mir-25,0.21250000000000002
hsa-mir-548t,0.2125
hsa-mir-125b-2,0.2125
hsa-mir-196a-2,0.2125
hsa-mir-891a,0.2
hsa-mir-3934,0.2
hsa-mir-129-2,0.2
hsa-mir-363,0.2
hsa-mir-424,0.2
hsa-mir-23b,0.1875
hsa-mir-224,0.1875
hsa-mir-34c,0.1875
hsa-mir-27a,0.1875
hsa-mir-662,0.1875
hsa-mir-23c,0.1875
hsa-mir-423,0.17500000000000002
hsa-mir-150,0.175
hsa-mir-128-1,0.175
hsa-mir-642a,0.175
hsa-mir-1307,0.175
hsa-mir-873,0.175
hsa-mir-34b,0.175
hsa-mir-421,0.175
hsa-mir-7-2,0.175
hsa-mir-629,0.175
hsa-mir-1228,0.16250000000000003
hsa-mir-129-1,0.1625
hsa-mir-140,0.1625
hsa-mir-3926-2,0.1625
hsa-mir-3605,0.15000000000000002
hsa-mir-509-1,0.15
hsa-mir-2355,0.15
hsa-mir-623,0.15
hsa-mir-338,0.15
hsa-mir-103-2,0.15
hsa-mir-4326,0.15
hsa-mir-509-2,0.1375
hsa-mir-548f-1,0.1375
hsa-mir-488,0.1375
hsa-mir-103-1-as,0.1375
hsa-mir-511-2,0.1375
hsa-mir-1258,0.1375
hsa-mir-222,0.1375
hsa-mir-1246,0.1375
hsa-mir-942,0.1375
hsa-mir-3921,0.1375
hsa-mir-133a-1,0.1375
hsa-mir-92b,0.1375
hsa-mir-1180,0.1375
hsa-mir-1244-2,0.1375
hsa-mir-514-2,0.1375
hsa-mir-1250,0.125
hsa-mir-1181,0.125
hsa-mir-1260,0.125
hsa-mir-516a-2,0.125
hsa-mir-185,0.125
hsa-mir-1252,0.125
hsa-mir-1234,0.125
hsa-mir-346,0.125
hsa-mir-512-1,0.125
hsa-mir-520h,0.125
hsa-mir-1267,0.125
hsa-mir-518c,0.125
hsa-mir-330,0.125
hsa-mir-1253,0.125
hsa-mir-1229,0.125
hsa-mir-1206,0.125
hsa-mir-302a,0.125
hsa-mir-1231,0.125
hsa-mir-519d,0.125
hsa-mir-512-2,0.125
hsa-mir-1243,0.125
hsa-mir-1185-1,0.125
hsa-mir-1265,0.125
hsa-mir-1237,0.125
hsa-mir-500b,0.125
hsa-mir-1205,0.125
hsa-mir-1197,0.125
hsa-mir-1204,0.125
hsa-mir-1254,0.125
hsa-mir-1178,0.125
hsa-mir-513a-1,0.125
hsa-mir-1-1,0.125
hsa-mir-1182,0.125
hsa-mir-138-1,0.125
hsa-mir-520e,0.125
hsa-mir-106b,0.125
hsa-mir-513a-2,0.125
hsa-mir-664,0.125
hsa-mir-1261,0.125
hsa-mir-1238,0.125
hsa-mir-1200,0.125
hsa-mir-367,0.125
hsa-mir-1184-1,0.125
hsa-mir-515-1,0.125
hsa-mir-525,0.125
hsa-mir-19b-2,0.125
hsa-mir-1226,0.125
hsa-mir-519b,0.125
hsa-mir-103-2-as,0.125
hsa-mir-1293,0.125
hsa-mir-452,0.125
hsa-mir-517c,0.125
hsa-mir-509-3,0.125
hsa-mir-1268,0.125
hsa-mir-1283-2,0.125
hsa-mir-1233-1,0.125
hsa-mir-1244-1,0.125
hsa-mir-514-3,0.125
hsa-mir-1236,0.125
hsa-mir-1184-2,0.125
hsa-mir-1255b-2,0.125
hsa-mir-96,0.125
hsa-mir-1262,0.125
hsa-mir-515-2,0.125
hsa-mir-1263,0.125
hsa-mir-1184-3,0.125
hsa-mir-219-2,0.125
hsa-mir-1233-2,0.125
hsa-mir-527,0.125
hsa-mir-615,0.125
hsa-mir-153-2,0.125
hsa-mir-518e,0.125
hsa-mir-3689a,0.125
hsa-mir-1179,0.125
hsa-mir-3689b,0.125
hsa-mir-1260b,0.125
hsa-mir-518b,0.125
hsa-mir-1185-2,0.125
hsa-mir-3677,0.125
hsa-mir-518f,0.125
hsa-mir-516a-1,0.125
hsa-mir-522,0.125
hsa-mir-520d,0.125
hsa-mir-1225,0.125
hsa-mir-519a-2,0.125
hsa-mir-1269,0.125
hsa-mir-520c,0.125
hsa-mir-520g,0.125
hsa-mir-1227,0.125
hsa-mir-1257,0.125
hsa-mir-1183,0.125
hsa-mir-1207,0.125
hsa-mir-518a-1,0.125
hsa-mir-520b,0.125
hsa-mir-1203,0.125
hsa-mir-1193,0.125
hsa-mir-1255b-1,0.125
hsa-mir-128-2,0.125
hsa-mir-1208,0.125
hsa-mir-3926-1,0.125
hsa-mir-1256,0.125
hsa-mir-514-1,0.125
hsa-mir-1244-3,0.125
hsa-mir-1248,0.125
hsa-mir-133a-2,0.125
hsa-mir-1249,0.125
hsa-mir-1202,0.125
hsa-mir-524,0.1125
hsa-mir-153-1,0.1125
hsa-mir-302d,0.1125
hsa-mir-505,0.1125
hsa-mir-198,0.1125
hsa-mir-302c,0.1125
hsa-mir-521-1,0.1125
hsa-mir-1468,0.1125
hsa-mir-516b-2,0.1125
hsa-mir-3606,0.1125
hsa-mir-1303,0.1125
hsa-mir-18a,0.1125
hsa-mir-592,0.1
hsa-mir-520f,0.1
hsa-mir-675,0.1
hsa-mir-769,0.1
hsa-mir-379,0.1
hsa-mir-518a-2,0.1
hsa-mir-1321,0.1
hsa-mir-15b,0.1
hsa-mir-3199-2,0.1
hsa-mir-519a-1,0.09999999999999999
hsa-mir-504,0.09999999999999999
hsa-mir-7-1,0.0875
hsa-mir-218-2,0.0875
hsa-mir-181c,0.0875
hsa-mir-188,0.0875
hsa-mir-451,0.0875
hsa-mir-320a,0.0875
hsa-mir-376a-2,0.0875
hsa-mir-1280,0.0875
hsa-mir-3152,0.0875
hsa-mir-3920,0.0875
hsa-mir-92a-1,0.0875
hsa-mir-3615,0.0875
hsa-mir-500a,0.0875
hsa-mir-374a,0.07500000000000001
hsa-mir-758,0.075
hsa-mir-3156-1,0.075
