feature,importance
hsa-mir-146b,42.1855135403
hsa-mir-92a-2,28.4741507677
hsa-mir-100,26.9886839799
hsa-mir-29a,24.3375570615
hsa-let-7a-2,20.4053787174
hsa-mir-101-1,19.1490052938
hsa-mir-30d,18.9583869074
hsa-mir-103-1,15.492588759
hsa-mir-10a,14.2870247523
hsa-mir-181a-1,13.5781699481
hsa-let-7c,13.2081928633
hsa-mir-30e,12.0515513876
hsa-mir-143,11.6735125477
hsa-mir-181a-2,11.3628184419
hsa-mir-148a,11.1880150775
hsa-mir-372,10.283444982
hsa-mir-125b-1,10.0444086262
hsa-mir-375,10.0073321896
hsa-let-7f-2,9.9890646196
hsa-let-7a-1,9.7400763225
hsa-let-7a-3,9.7028666179
hsa-mir-196b,8.4659392767
hsa-mir-99b,7.7065228117
hsa-mir-93,7.5786339015
hsa-mir-206,6.5132502246
hsa-mir-199a-2,6.4262261093
hsa-mir-199b,6.3697505126
hsa-mir-23a,6.1504049994
hsa-mir-211,5.9897605692
hsa-mir-25,5.8976683326
hsa-mir-192,5.8418352246
hsa-mir-532,5.3511163832
hsa-mir-26a-2,4.7355122856
hsa-mir-199a-1,4.3261280471
hsa-let-7i,3.6210593386
hsa-mir-379,3.5326821676
hsa-mir-99a,3.2352639083
hsa-mir-142,2.9088224312
hsa-mir-146a,2.7905936058
hsa-mir-23b,2.5937634664
hsa-mir-302b,2.393729845
hsa-mir-373,2.3892044295
hsa-mir-126,2.3604222318
hsa-mir-27b,2.3508815418
hsa-mir-140,2.2753304972
hsa-mir-221,2.0425550248
hsa-mir-181b-1,1.9946607482
hsa-mir-302a,1.9188782784
hsa-mir-500a,1.8964136762
hsa-mir-145,1.8040697425
hsa-mir-371,1.7956059295
hsa-mir-200b,1.703507148
hsa-mir-1307,1.6344890916
hsa-let-7g,1.4885325063
hsa-mir-141,1.4582148305
hsa-mir-200a,1.3477784756
hsa-mir-92a-1,1.3236433279
hsa-mir-125a,1.2629242854
hsa-mir-127,1.1923436115
hsa-mir-378,1.0209071538
hsa-mir-30c-2,0.9664523876
hsa-mir-320a,0.9558520098
hsa-mir-29c,0.9558036664
hsa-mir-26b,0.8987301102
hsa-mir-210,0.8595327589
hsa-let-7d,0.7936161261
hsa-mir-17,0.7590264509
hsa-mir-200c,0.7419644037
hsa-mir-519a-1,0.726489784
hsa-let-7e,0.7029711897
hsa-mir-374a,0.6450360542
hsa-mir-767,0.616726196
hsa-mir-194-2,0.5476276314
hsa-mir-9-1,0.5356457451
hsa-mir-194-1,0.4908159896
hsa-mir-520a,0.4338847351
