feature,importance
hsa-mir-9-1,4619.85483509
hsa-mir-9-2,4609.0166294
hsa-mir-9-3,1320.49193304
hsa-mir-488,689.035045102
hsa-mir-122,648.810139399
hsa-mir-146a,635.616707159
hsa-let-7i,608.249883161
hsa-mir-378,593.691064135
hsa-mir-30a,522.741570835
hsa-mir-7-2,511.358431964
hsa-mir-361,503.906778612
hsa-mir-30d,497.996758747
hsa-mir-137,479.767800454
hsa-mir-125a,472.607497627
hsa-mir-7-3,469.613611121
hsa-mir-371,467.745284029
hsa-mir-10b,467.631507655
hsa-mir-135a-1,450.868210691
hsa-mir-487b,448.423162608
hsa-mir-423,447.271182569
hsa-mir-373,441.077652175
hsa-mir-598,423.66897845
hsa-mir-127,403.483219453
hsa-mir-372,400.549886973
hsa-mir-125b-1,371.783483467
hsa-mir-378c,359.955986436
hsa-mir-142,354.784151378
hsa-mir-3613,353.926975164
hsa-mir-15a,353.860776664
hsa-mir-885,352.845218855
hsa-mir-92a-1,351.821117094
hsa-mir-92b,348.940209837
hsa-mir-194-2,346.863184326
hsa-mir-7-1,344.202129958
hsa-mir-1224,339.745599297
hsa-mir-192,339.294594842
hsa-mir-194-1,338.99920239
hsa-mir-211,334.574355275
hsa-mir-539,333.661303312
hsa-mir-370,331.458693508
hsa-mir-221,330.471114611
hsa-let-7e,329.482878174
hsa-mir-222,326.225556543
hsa-mir-135a-2,323.267905115
hsa-mir-92a-2,321.548965678
hsa-mir-485,314.933185447
hsa-mir-136,314.80637241
hsa-mir-202,312.482253873
hsa-mir-382,310.816403452
hsa-mir-181a-1,307.186510151
hsa-mir-664,302.144810985
hsa-mir-154,300.532803573
hsa-mir-19b-1,299.751046402
hsa-mir-101-1,299.548019601
hsa-mir-23a,298.799287026
hsa-mir-205,297.704833343
hsa-mir-185,296.454419086
hsa-mir-30e,295.201478945
hsa-let-7d,290.98727272
hsa-mir-375,289.510340023
hsa-mir-3615,283.958173661
hsa-mir-3166,282.515227567
hsa-mir-181a-2,282.261623178
hsa-mir-146b,282.240640759
hsa-let-7a-3,281.939028277
hsa-mir-629,281.762233112
hsa-mir-889,281.53441453
hsa-mir-328,281.286470031
hsa-let-7a-1,281.284182159
hsa-mir-409,280.873254432
hsa-let-7a-2,280.863552219
hsa-mir-381,279.527422626
hsa-mir-369,279.427896178
hsa-mir-130a,278.059912546
hsa-mir-543,276.455105164
hsa-mir-15b,275.917364773
hsa-mir-219-2,275.474356403
hsa-mir-346,273.478001377
hsa-mir-21,273.073187776
hsa-mir-671,270.01961898
hsa-mir-487a,269.952358464
hsa-mir-668,265.584117112
hsa-mir-181b-1,264.197765339
hsa-mir-126,263.042081634
hsa-mir-181c,258.959861038
hsa-mir-495,258.820690916
hsa-mir-101-2,257.737687106
hsa-mir-329-2,257.419827792
hsa-mir-376c,256.006774493
hsa-mir-502,253.380306631
hsa-mir-379,252.601089316
hsa-mir-186,250.834674575
hsa-mir-411,250.543865326
hsa-mir-1301,249.559697549
hsa-mir-942,249.301470017
hsa-mir-659,249.156769108
hsa-mir-329-1,248.831967196
hsa-mir-377,248.255291981
hsa-mir-16-1,247.050972766
hsa-mir-103-1,246.20789531
hsa-mir-30c-2,246.125934584
hsa-mir-374a,245.308924399
hsa-mir-1185-2,244.40880626
hsa-let-7f-1,242.390097956
hsa-mir-656,242.26474343
hsa-mir-22,241.514030711
hsa-mir-103-2,241.3728303
hsa-mir-200c,240.233572627
hsa-mir-655,238.698017587
hsa-mir-374b,236.346989969
hsa-mir-99a,236.224706639
hsa-mir-1292,234.962420817
hsa-mir-1277,234.375239869
hsa-mir-503,232.127362415
hsa-mir-323,231.983857495
hsa-mir-193a,229.597497807
hsa-mir-10a,227.830264585
hsa-mir-29a,226.383095554
hsa-mir-548t,224.847935761
hsa-mir-99b,223.719062903
hsa-mir-16-2,223.477499468
hsa-mir-299,222.329160444
hsa-mir-496,221.314963635
hsa-mir-576,221.079294557
hsa-mir-20a,221.03761825
hsa-mir-433,218.123807724
hsa-mir-197,217.363885744
hsa-let-7g,217.121508602
hsa-mir-340,214.856326983
hsa-mir-3928,213.13311489
hsa-mir-320a,212.734776492
hsa-mir-19a,212.655359762
hsa-mir-107,211.964364068
hsa-mir-96,211.504400685
hsa-mir-148b,210.873030708
hsa-mir-1251,210.218720069
hsa-let-7c,210.150097642
hsa-mir-135b,210.061500208
hsa-mir-380,209.314355348
hsa-mir-590,208.815910382
hsa-mir-25,208.156042601
hsa-mir-584,207.510191907
hsa-mir-153-1,205.657874153
hsa-mir-200b,205.209876583
hsa-mir-676,203.175253201
hsa-mir-323b,202.772005549
hsa-mir-1185-1,201.129740668
hsa-mir-320c-1,200.649775903
hsa-mir-410,198.903602221
hsa-mir-1296,197.789897518
hsa-mir-128-1,197.308596637
hsa-mir-29b-2,197.087057622
hsa-mir-432,196.982219093
hsa-mir-200a,194.000649898
hsa-mir-18a,193.802556434
hsa-mir-766,193.603050962
hsa-mir-944,193.507575794
hsa-mir-500a,191.57557514
hsa-mir-891a,191.521273384
hsa-mir-376b,190.205940295
hsa-mir-378b,190.021846131
hsa-mir-181b-2,189.255345373
hsa-mir-758,188.20634801
hsa-mir-17,187.676519586
hsa-mir-141,186.970866492
hsa-mir-874,186.672492009
hsa-mir-302b,186.315724682
hsa-mir-190b,185.880035706
hsa-mir-153-2,184.671925908
hsa-mir-143,183.278400955
hsa-mir-494,183.09877904
hsa-mir-652,180.97554302
hsa-mir-29b-1,180.963761919
hsa-mir-376a-1,180.160665125
hsa-mir-134,180.022721374
hsa-let-7b,179.434975717
hsa-mir-140,179.059860433
hsa-mir-151,178.970934635
hsa-mir-203,178.562670804
hsa-mir-3917,177.12452635
hsa-mir-30c-1,174.528861956
hsa-mir-324,174.355850738
hsa-mir-1306,173.582898345
hsa-mir-500b,173.260996873
hsa-mir-302d,172.747792061
hsa-mir-455,172.461577878
hsa-mir-1249,171.881252102
hsa-mir-507,171.489004188
hsa-mir-580,170.597846094
hsa-mir-665,169.132157111
hsa-mir-1287,168.599042564
hsa-mir-32,168.299642017
hsa-mir-513b,167.934359483
hsa-mir-542,167.653378839
hsa-mir-429,166.722675195
hsa-mir-2113,165.893401322
hsa-mir-509-3,165.883897728
hsa-mir-548y,165.282268884
hsa-mir-29c,165.064634943
hsa-mir-1180,161.673601838
hsa-mir-34a,161.562704474
hsa-mir-506,161.467541187
hsa-mir-514-3,161.21095418
hsa-mir-514-1,161.088696741
hsa-mir-514-2,161.05588806
hsa-mir-625,160.928644511
hsa-mir-513a-2,160.40872661
hsa-mir-3605,160.378772076
hsa-mir-128-2,160.268023451
hsa-mir-19b-2,160.123763851
hsa-mir-877,159.708422869
hsa-mir-509-2,159.444851852
hsa-mir-509-1,158.89471454
hsa-mir-1193,158.709260748
hsa-mir-658,158.411271779
hsa-mir-199b,157.698021089
hsa-mir-27a,157.38533948
hsa-mir-182,156.932339798
hsa-mir-3199-1,156.74142982
hsa-mir-513a-1,156.437132983
hsa-mir-651,155.463468409
hsa-mir-3934,155.199145061
hsa-mir-3912,154.899861117
hsa-mir-3191,154.85129371
hsa-mir-28,154.816387711
hsa-mir-191,154.376458175
hsa-mir-218-2,153.967660635
hsa-mir-1271,153.65190802
hsa-mir-337,152.82252965
hsa-mir-618,152.55720318
hsa-mir-431,152.283866039
hsa-mir-501,151.969604404
hsa-mir-199a-2,151.776718311
hsa-mir-532,151.189687025
hsa-mir-98,151.098058528
hsa-mir-1976,151.072975578
hsa-mir-493,149.934797704
hsa-mir-302a,149.496623803
hsa-mir-3922,149.355874124
hsa-mir-508,149.292927352
hsa-mir-2110,149.006568317
hsa-mir-24-2,148.929931468
hsa-mir-589,148.81051762
